id,Shipper_ID,Shipper_Name,Tracking_ID,Order_Granular_Status,Delivery_Type_Name,Service_Type,Service_Level,Parcel_Size_ID,Original_Weight,Create_Time,Delivery_Date,Gender,L1_Name,To_Postcode, Actual_delivery_fee, cod_collected, cod_fee, insured_value, insurance_fee, SST , Total_Charge,Country,created_at,updated_at
,690929,1,NVMY34535000011039,1,1,1,1,1,1,5/7/2024 16:28,4/17/2024,1,Selangor,43900,7, -   , -   , -   , -   ,0.42,7.42,1,,
,690929,1,NVMY34535000011001,1,1,1,1,1,1,5/8/2024 16:28,4/17/2024,1,Perak,32200,7, -   , -   , -   , -   ,0.42,7.42,1,,
,690929,1,NVMY34535000011085,1,1,1,1,1,1,5/9/2024 16:28,4/17/2024,0,Selangor,42300,7, -   , -   , -   , -   ,0.42,7.42,1,,
,690929,1,NVMY34535000011020,1,1,1,1,1,1,5/10/2024 16:28,4/17/2024,1,Pahang,28030,7, -   , -   , -   , -   ,0.42,7.42,1,,
,690929,1,NVMY34535000010993,1,1,1,1,1,1,5/11/2024 16:28,4/17/2024,1,Johor,81100,7, -   , -   , -   , -   ,0.42,7.42,1,,
,690929,1,NVMY34535000010986,1,1,1,1,1,1,5/12/2024 16:28,4/17/2024,1,Johor,81500,7, -   , -   , -   , -   ,0.42,7.42,1,,
,690929,1,NVMY34535000010985,1,1,1,1,1,1,5/13/2024 16:28,4/17/2024,1,Melaka,77500,7, -   , -   , -   , -   ,0.42,7.42,1,,
,690929,1,NVMY34535000010984,1,1,1,1,1,1,5/14/2024 16:28,4/17/2024,1,Terengganu,21300,7, -   , -   , -   , -   ,0.42,7.42,1,,
,690929,1,NVMY34535000010983,1,1,1,1,1,1,5/15/2024 16:28,4/17/2024,1,Pulau Pinang,14400,7, -   , -   , -   , -   ,0.42,7.42,1,,
,690929,1,NVMY34535000011040,1,1,1,1,1,23,5/16/2024 16:28,4/17/2024,0,Selangor,47301,24.6, -   , -   , -   , -   ,1.48,26.08,1,,
,690929,1,NVMY34535000010995,1,1,1,1,1,1,5/17/2024 16:28,4/17/2024,1,Negeri Sembilan,70300,7, -   , -   , -   , -   ,0.42,7.42,1,,
,690929,1,NVMY34535000011034,1,1,1,1,1,1,5/18/2024 16:28,4/17/2024,1,Terengganu,20050,7, -   , -   , -   , -   ,0.42,7.42,1,,
,690929,1,NVMY34535000011038,1,1,1,1,1,1,5/19/2024 16:28,4/17/2024,1,Selangor,40000,7, -   , -   , -   , -   ,0.42,7.42,1,,
,690929,1,NVMY34535000011011,1,1,1,1,1,1,5/20/2024 16:28,4/17/2024,1,Selangor,42200,7, -   , -   , -   , -   ,0.42,7.42,1,,
,690929,1,NVMY34535000011022,1,1,1,1,1,1,5/21/2024 16:28,4/17/2024,1,Johor,81000,7, -   , -   , -   , -   ,0.42,7.42,1,,
